name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,nearest_international_airport,airport_confidence,airport_reasoning,driving_distance_km_time,driving_distance_confidence,driving_distance_reasoning,error
Torri di Quartesolo,IT,45.5192662,11.6171199,11809,23.0,75.5,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Maniago / Manià,IT,46.1709743,12.7073987,11708,284.0,931.8,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Fiume Veneto / Vile di Flum,IT,45.9279427,12.7321755,11677,21.0,68.9,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Caorle,IT,45.5979147,12.8876282,11672,0.0,0.0,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Passy,FR,45.92341,6.69562,11613,648.0,2126.0,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Zero Branco,IT,45.601701,12.165212,11578,13.0,42.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Lienz,AT,46.8289,12.76903,11572,675.0,2214.6,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Musile di Piave,IT,45.6173586,12.5618873,11522,7.0,23.0,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Götzis,AT,47.33306,9.63306,11473,426.0,1397.6,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mejaniga,IT,45.45768,11.90644,11434,11.0,36.1,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Carbonera,IT,45.6848378,12.2859442,11334,13.0,42.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Creazzo,IT,45.5320528,11.4785807,11331,37.0,121.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Caldogno,IT,45.6118362,11.5075805,11301,43.0,141.1,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Noventa Padovana,IT,45.4142322,11.9507999,11265,11.0,36.1,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Piazzola sul Brenta,IT,45.541496,11.784404,11251,26.0,85.3,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Gemona,IT,46.27405,13.12237,11141,189.0,620.1,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Camisano Vicentino,IT,45.5220266,11.7134998,11115,33.0,108.3,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Spilimbergo / Spilimberc,IT,46.1113355,12.9016287,11087,135.0,442.9,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Arzl,AT,47.28333,11.43333,11082,635.0,2083.3,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Gemona del Friuli / Glemone,IT,46.2770072,13.1401049,10964,273.0,895.7,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Muggia,IT,45.60419,13.76754,10929,11.0,36.1,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Motta di Livenza,IT,45.77663,12.6105482,10768,8.0,26.2,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Favaro Veneto,IT,45.5046266,12.2820457,10720,6.0,19.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Laives,IT,46.42679,11.33841,10710,254.0,833.3,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Oriago,IT,45.4514083,12.1710686,10557,8.0,26.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Lido di Jesolo,IT,45.50694,12.64694,10523,7.0,23.0,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Imst,AT,47.24504,10.73974,10504,826.0,2710.0,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Morbegno,IT,46.1372,9.57415,10472,241.0,790.7,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tolmezzo / Tumieç,IT,46.4053676,13.0158357,10440,326.0,1069.6,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Maniago,IT,46.16644,12.70602,10395,280.0,918.6,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Valdobbiadene,IT,45.9014131,11.9955123,10388,260.0,853.0,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Lauterach,AT,47.47572,9.72941,10267,407.0,1335.3,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Ponzano Veneto,IT,45.71541,12.20444,10238,35.0,114.8,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Ponzano,IT,45.710824,12.2237501,10238,28.0,91.9,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Villafranca Padovana,IT,45.4948512,11.7975235,10217,24.0,78.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Isola Vicentina,IT,45.6286685,11.4431478,10214,82.0,269.0,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Giorgio delle Pertiche,IT,45.5416702,11.9112369,10214,17.0,55.8,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mori,IT,45.8533795,10.9753961,10211,201.0,659.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Silea,IT,45.6533706,12.2959606,10167,7.0,23.0,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Volpago del Montello,IT,45.7780578,12.119815,10151,95.0,311.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Sedico,IT,46.11098,12.0971545,10119,324.0,1063.0,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Lenggries,DE,47.6831625,11.5763967,10077,679.0,2227.7,,,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Quinto di Treviso,IT,45.6452121,12.1664816,9844,14.0,45.9,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Vendemiano,IT,45.8907463,12.3338437,9837,45.0,147.6,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mareno di Piave,IT,45.8408562,12.3512554,9661,37.0,121.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Oberstdorf,DE,47.40724,10.27939,9572,819.0,2687.0,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Piombino Dese,IT,45.6075204,11.9994148,9534,25.0,82.0,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Resana,IT,45.6345748,11.9554316,9522,30.0,98.4,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Spilimbergo,IT,46.11345,12.89241,9422,133.0,436.4,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Viktring,AT,46.59194,14.26917,9407,452.0,1482.9,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Maserada sul Piave,IT,45.7494106,12.3193327,9380,31.0,101.7,,,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Marano Vicentino,IT,45.69259,11.4290346,9345,133.0,436.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Zeno-San Giuseppe,IT,45.75727,11.76208,9334,111.0,364.2,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Fiume Veneto,IT,45.92865,12.73811,9313,18.0,59.1,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Loria,IT,45.7284237,11.8655848,9310,67.0,219.8,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Istrana,IT,45.6778456,12.1033127,9299,32.0,105.0,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Cividale del Friuli,IT,46.09019,13.42861,9290,114.0,374.0,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Rum,AT,47.28333,11.45,9190,623.0,2044.0,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Santa Lucia di Piave,IT,45.8491741,12.2849283,9151,54.0,177.2,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Noventa,IT,45.41429,11.95101,9131,11.0,36.1,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Asolo,IT,45.8007265,11.9142444,9128,209.0,685.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Monticello Conte Otto,IT,45.5951803,11.5805788,9098,40.0,131.2,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Lavis,IT,46.1397416,11.1102267,8915,229.0,751.3,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Farra di Soligo,IT,45.9053812,12.1254301,8913,161.0,528.2,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Latisana,IT,45.76859,13.00618,8896,7.0,23.0,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Latisana / Tisane,IT,45.7776908,12.9967006,8896,7.0,23.0,,,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Trissino,IT,45.5640412,11.3748519,8784,127.0,416.7,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Borgoricco,IT,45.5335614,11.9658789,8755,15.0,49.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tarcento / Tarcint,IT,46.2156457,13.2221061,8716,226.0,741.5,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Pasian di Prato / Pasian di Prât,IT,46.0485134,13.1875972,8708,97.0,318.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Costa Volpino,IT,45.82768,10.10076,8705,195.0,639.8,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Concordia Sagittaria,IT,45.76118,12.82362,8677,8.0,26.2,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Breganze,IT,45.7081441,11.5647668,8677,109.0,357.6,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Sandrigo,IT,45.6606078,11.6029276,8630,69.0,226.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Fiesso d'Artico,IT,45.4167857,12.0306479,8588,10.0,32.8,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Giuseppe,IT,45.7675549,11.7593268,8508,127.0,416.7,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Wolfurt,AT,47.46667,9.75,8446,408.0,1338.6,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Zoppola / Sopula,IT,45.9662544,12.7715635,8430,33.0,108.3,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Col San Martino,IT,45.9002,12.11575,8425,139.0,456.0,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Villacher Vorstadt,AT,46.62368,14.28892,8421,445.0,1460.0,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Finkenstein am Faaker See,AT,46.56081,13.87115,8406,567.0,1860.2,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tombolo,IT,45.6470275,11.8304219,8352,40.0,131.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Rum,DE,47.2867829,11.4573834,8352,621.0,2037.4,,,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tirano,IT,46.21482,10.16335,8348,421.0,1381.2,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Piovene Rocchette,IT,45.7588257,11.4301268,8346,279.0,915.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Casarsa della Delizia,IT,45.95091,12.8425,8320,37.0,121.4,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Ponte di Piave,IT,45.7161533,12.4652271,8309,8.0,26.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Sovizzo,IT,45.5280283,11.4456338,8308,47.0,154.2,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Vigonovo-Fontanafredda,IT,45.98927,12.54707,8283,38.0,124.7,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Aviano,IT,46.07056,12.59472,8225,158.0,518.4,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Aviano / Davian - Pleif,IT,46.0685438,12.5891138,8225,158.0,518.4,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Quarto d'Altino,IT,45.5804512,12.3705001,8200,3.0,9.8,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Villach-Innere Stadt,AT,46.61275,13.84638,8189,503.0,1650.3,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Fontaniva,IT,45.6376293,11.7521976,8170,40.0,131.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Zirl,AT,47.2741,11.23961,8162,635.0,2083.3,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Casarsa della Delizia / Cjasarsa,IT,45.9559372,12.8426929,8135,42.0,137.8,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Brugnera / Brugnere,IT,45.9035103,12.5259887,8112,14.0,45.9,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Rossano Veneto,IT,45.7052727,11.7997866,8102,76.0,249.3,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tolmezzo,IT,46.39996,13.02051,8078,306.0,1003.9,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mira Taglio,IT,45.4330543,12.1233467,8034,5.0,16.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Clusone,IT,45.88663,9.94646,8032,601.0,1971.8,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Caerano di San Marco,IT,45.7859102,12.0010378,8017,125.0,410.1,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Daniele del Friuli / San Denêl,IT,46.1600501,13.0105965,8013,244.0,800.5,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Villa Opicina,IT,45.6878,13.78861,8009,321.0,1053.1,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mittenwald,DE,47.4422,11.26187,7996,916.0,3005.2,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Höchst,AT,47.45934,9.6405,7995,397.0,1302.5,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Limena,IT,45.4743763,11.8449327,7952,18.0,59.1,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Levico Terme,IT,46.0091259,11.3017774,7915,476.0,1561.7,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Ponte nelle Alpi,IT,46.18083,12.28333,7913,401.0,1315.6,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Pfronten,DE,47.5822,10.54962,7890,857.0,2811.7,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Wattens,AT,47.29419,11.5907,7881,554.0,1817.6,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Landeck,AT,47.13988,10.56593,7725,787.0,2582.0,open_elevation,0.85,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Ugine,FR,45.75571,6.41503,7703,449.0,1473.1,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Chirignago,IT,45.4847054,12.1888093,7670,5.0,16.4,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mussolente,IT,45.7789522,11.8012715,7658,111.0,364.2,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Costabissara,IT,45.5855421,11.4877438,7634,45.0,147.6,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Loreggia,IT,45.594524,11.9446117,7598,29.0,95.1,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Faverges,FR,45.7468537,6.2934242,7581,518.0,1699.5,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Wattens,DE,47.2935786,11.5907326,7503,564.0,1850.4,,,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Stra,IT,45.4100182,12.0050219,7470,9.0,29.5,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Pederobba,IT,45.8695205,11.9695508,7451,179.0,587.3,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Sankt Ruprecht,AT,46.6,14.31667,7442,435.0,1427.2,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Pasiano di Pordenone / Pasian di Pordenon,IT,45.8497541,12.6265087,7422,13.0,42.7,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Zenone degli Ezzelini,IT,45.7790023,11.8405331,7391,108.0,354.3,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Fiesso,IT,45.41954,12.03378,7372,6.0,19.7,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Curtarolo,IT,45.5222551,11.832017,7325,21.0,68.9,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
San Giorgio di Nogaro / San Zorç di Noiâr,IT,45.8320236,13.2111453,7314,14.0,45.9,opentopo,0.9,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tricesimo / Tresesin,IT,46.1605618,13.2125359,7305,205.0,672.6,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Campoformido / Cjampfuarmit,IT,46.0195268,13.1601994,7244,75.0,246.1,open_elevation,0.85,osm,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Chiavenna,IT,46.32063,9.39816,7239,330.0,1082.7,opentopo,0.9,geonames,0.0,,,,,,,OpenAI API call failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
