name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,airport_confidence_pct,airport_error,airport_nearest_iata,airport_nearest_icao,airport_nearest_latitude,airport_nearest_longitude,airport_nearest_name,airport_reasoning,driving_confidence_pct,driving_error,driving_km_to_airport,driving_reasoning,driving_time_minutes_to_airport,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_in_city_or_nearby,hospital_reasoning,nearest_hospital_km
Penzberg,AT,47.75293,11.377,16079,606.0,1988.2,opentopo,0.9,geonames,0.0,90,,MUC,EDDM,48.353802,11.7861,Munich Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,99.262,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.377000,47.752930;11.786100,48.353802?overview=false&annotations=duration,distance&alternatives=false",71.7,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.21 km),0.21
Rumilly,FR,45.86116,5.94513,13077,349.0,1145.0,open_elevation,0.85,geonames,0.0,90,,NCY,LFLP,45.928947,6.0987,Annecy Meythet airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,25.325,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.945130,45.861160;6.098700,45.928947?overview=false&annotations=duration,distance&alternatives=false",24.2,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.75 km),0.75
Telfs,AT,47.30707,11.06817,15229,637.0,2089.9,open_elevation,0.85,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,24.945,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.068170,47.307070;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",17.7,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 13.55 km,13.55
Freilassing,AT,47.84085,12.98114,15909,417.0,1368.1,opentopo,0.9,geonames,0.0,90,,SZG,LOWS,47.793301,13.0043,Salzburg Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,9.556,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.981140,47.840850;13.004300,47.793301?overview=false&annotations=duration,distance&alternatives=false",12.6,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.80 km),0.8
St. Egreve,FR,45.23313,5.68154,15904,215.0,705.4,open_elevation,0.85,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,39.778,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.681540,45.233130;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",31.1,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.56 km),0.56
Bruckmühl,AT,47.87859,11.91098,15851,508.0,1666.7,opentopo,0.9,geonames,0.0,90,,MUC,EDDM,48.353802,11.7861,Munich Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,80.31,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.910980,47.878590;11.786100,48.353802?overview=false&annotations=duration,distance&alternatives=false",59.9,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 7.63 km,7.63
Brixen,IT,46.71503,11.65598,15868,567.0,1860.2,open_elevation,0.85,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,48.589,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.655980,46.715030;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",45.4,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.16 km),1.16
Füssen,AT,47.57143,10.70171,15608,799.0,2621.4,open_elevation,0.85,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,84.367,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.701710,47.571430;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",55.1,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.55 km),0.55
Cossato,IT,45.57032,8.18471,13931,253.0,830.1,opentopo,0.9,geonames,0.0,90,,TRN,LIMF,45.200802,7.64963,Turin Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,84.047,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.184710,45.570320;7.649630,45.200802?overview=false&annotations=duration,distance&alternatives=false",67.0,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 9.96 km,9.96
Laives - Leifers,IT,46.422819,11.3347713,15069,249.0,816.9,open_elevation,0.85,osm,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,8.484,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.334771,46.422819;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",12.7,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 8.60 km,8.6
Perchtoldsdorf,AT,48.11935,16.26607,15047,250.0,820.2,opentopo,0.9,geonames,0.0,90,,VIE,LOWW,48.110298,16.5697,Vienna International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,28.59,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/16.266070,48.119350;16.569700,48.110298?overview=false&annotations=duration,distance&alternatives=false",33.2,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 3.16 km,3.16
Darfo Boario Terme,IT,45.8915,10.18879,14932,220.0,721.8,open_elevation,0.85,geonames,0.0,90,,BGY,LIME,45.670725,9.709223,Milan Bergamo Airport / Antonio Locatelli Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,53.696,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.188790,45.891500;9.709223,45.670725?overview=false&annotations=duration,distance&alternatives=false",61.1,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 6.12 km,6.12
Omegna,IT,45.88002,8.40665,14868,306.0,1003.9,open_elevation,0.85,geonames,0.0,90,,MXP,LIMC,45.6306,8.72811,Milan Malpensa International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,74.712,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.406650,45.880020;8.728110,45.630600?overview=false&annotations=duration,distance&alternatives=false",65.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.88 km),0.88
Ternitz,AT,47.71565,16.03575,7378,393.0,1289.4,opentopo,0.9,geonames,0.0,90,,VIE,LOWW,48.110298,16.5697,Vienna International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,84.599,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/16.035750,47.715650;16.569700,48.110298?overview=false&annotations=duration,distance&alternatives=false",65.2,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 3.99 km,3.99
Gussago,IT,45.58358,10.15717,14502,158.0,518.4,open_elevation,0.85,geonames,0.0,90,,BGY,LIME,45.670725,9.709223,Milan Bergamo Airport / Antonio Locatelli Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,44.746,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.157170,45.583580;9.709223,45.670725?overview=false&annotations=duration,distance&alternatives=false",37.0,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.71 km),0.71
Romano d'Ezzelino,IT,45.77902,11.76657,12700,127.0,416.7,opentopo,0.9,geonames,0.0,90,,TSF,LIPH,45.648399,12.1944,Treviso Antonio Canova Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,55.041,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.766570,45.779020;12.194400,45.648399?overview=false&annotations=duration,distance&alternatives=false",59.1,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 3.27 km,3.27
Immenstadt im Allgäu,DE,47.55996,10.21394,14431,733.0,2404.9,open_elevation,0.85,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,71.163,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.213940,47.559960;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",51.6,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.14 km),1.14
Hall in Tirol,AT,47.28333,11.51667,13334,583.0,1912.7,opentopo,0.9,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,18.835,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.516670,47.283330;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",17.3,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.20 km),0.2
Bad Ischl,DE,47.7115299,13.6239333,14088,470.0,1542.0,open_elevation,0.85,osm,0.0,90,,SZG,LOWS,47.793301,13.0043,Salzburg Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,69.429,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/13.623933,47.711530;13.004300,47.793301?overview=false&annotations=duration,distance&alternatives=false",63.2,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.60 km),0.6
Marostica,IT,45.74541,11.66237,9264,97.0,318.2,opentopo,0.9,geonames,0.0,90,,TSF,LIPH,45.648399,12.1944,Treviso Antonio Canova Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,60.999,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.662370,45.745410;12.194400,45.648399?overview=false&annotations=duration,distance&alternatives=false",64.0,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.93 km),0.93
Borgosesia,IT,45.72045,8.27466,10967,382.0,1253.3,open_elevation,0.85,geonames,0.0,90,,MXP,LIMC,45.6306,8.72811,Milan Malpensa International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,71.233,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.274660,45.720450;8.728110,45.630600?overview=false&annotations=duration,distance&alternatives=false",70.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.20 km),0.2
Wörgl,AT,47.48906,12.06174,13811,508.0,1666.7,open_elevation,0.85,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,68.538,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.061740,47.489060;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",55.7,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 11.29 km,11.29
Schwaz,AT,47.35169,11.71014,13728,534.0,1752.0,opentopo,0.9,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,37.372,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.710140,47.351690;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",29.6,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.95 km),0.95
Alzano Lombardo,IT,45.73681,9.72638,12750,322.0,1056.4,open_elevation,0.85,geonames,0.0,90,,BGY,LIME,45.670725,9.709223,Milan Bergamo Airport / Antonio Locatelli Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,10.623,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/9.726380,45.736810;9.709223,45.670725?overview=false&annotations=duration,distance&alternatives=false",15.1,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.58 km),0.58
Bruneck - Brunico,IT,46.7963194,11.9355121,13618,842.0,2762.5,opentopo,0.9,osm,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,80.967,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.935512,46.796319;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",73.0,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.40 km),0.4
Bludenz,AT,47.15476,9.82255,13534,566.0,1857.0,open_elevation,0.85,geonames,0.0,90,,ACH,LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,56.06,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/9.822550,47.154760;9.560770,47.485001?overview=false&annotations=duration,distance&alternatives=false",40.3,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.56 km),0.56
Piazza,IT,45.58725,10.15526,13507,163.0,534.8,open_elevation,0.85,geonames,0.0,90,,BGY,LIME,45.670725,9.709223,Milan Bergamo Airport / Antonio Locatelli Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,44.125,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.155260,45.587250;9.709223,45.670725?overview=false&annotations=duration,distance&alternatives=false",35.7,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.30 km),0.3
La Motte-Servolex,FR,45.59702,5.86724,13499,272.0,892.4,opentopo,0.9,geonames,0.0,90,,CMF,LFLB,45.6381,5.88023,Chambéry Aix les Bains airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,8.194,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.867240,45.597020;5.880230,45.638100?overview=false&annotations=duration,distance&alternatives=false",19.0,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 4.92 km,4.92
Hard,AT,47.48306,9.68306,13495,398.0,1305.8,open_elevation,0.85,geonames,0.0,90,,ACH,LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,15.373,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/9.683060,47.483060;9.560770,47.485001?overview=false&annotations=duration,distance&alternatives=false",17.0,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 4.96 km,4.96
Seyssinet-Pariset,FR,45.17675,5.69387,13473,214.0,702.1,opentopo,0.9,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,45.894,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.693870,45.176750;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",36.0,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.31 km),1.31
Sarezzo,IT,45.66067,10.1969,13295,276.0,905.5,open_elevation,0.85,geonames,0.0,90,,BGY,LIME,45.670725,9.709223,Milan Bergamo Airport / Antonio Locatelli Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,52.988,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.196900,45.660670;9.709223,45.670725?overview=false&annotations=duration,distance&alternatives=false",44.4,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 2.03 km),2.03
Carros,IT,43.79246,7.18745,10883,389.0,1276.2,opentopo,0.9,geonames,0.0,90,,NCE,LFMN,43.658401,7.21587,Nice-Côte d'Azur Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,22.976,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/7.187450,43.792460;7.215870,43.658401?overview=false&annotations=duration,distance&alternatives=false",35.4,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 9.22 km,9.22
Gmunden,AT,47.91839,13.79933,13191,433.0,1420.6,open_elevation,0.85,geonames,0.0,90,,LNZ,LOWL,48.2332,14.1875,Linz-Hörsching Airport / Vogler Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,66.946,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/13.799330,47.918390;14.187500,48.233200?overview=false&annotations=duration,distance&alternatives=false",51.3,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.43 km),1.43
Chiampo,IT,45.54746,11.28285,10857,192.0,629.9,open_elevation,0.85,geonames,0.0,90,,VRN,LIPX,45.394955,10.887303,Verona Villafranca Valerio Catullo Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,62.828,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.282850,45.547460;10.887303,45.394955?overview=false&annotations=duration,distance&alternatives=false",65.6,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 4.48 km,4.48
Gratwein-Straßengel,AT,47.1231264,15.3304611,13000,388.0,1273.0,opentopo,0.9,osm,0.0,90,,GRZ,LOWG,46.9911,15.4396,Graz Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,28.911,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/15.330461,47.123126;15.439600,46.991100?overview=false&annotations=duration,distance&alternatives=false",25.3,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 3.22 km,3.22
Spittal an der Drau,AT,46.8,13.5,12880,578.0,1896.3,open_elevation,0.85,geonames,0.0,90,,KLU,LOWK,46.642502,14.3377,Klagenfurt Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,77.433,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/13.500000,46.800000;14.337700,46.642502?overview=false&annotations=duration,distance&alternatives=false",59.8,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.71 km),0.71
Concesio,IT,45.60518,10.21697,11262,214.0,702.1,opentopo,0.9,geonames,0.0,90,,BGY,LIME,45.670725,9.709223,Milan Bergamo Airport / Antonio Locatelli Air Base,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,47.741,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.216970,45.605180;9.709223,45.670725?overview=false&annotations=duration,distance&alternatives=false",39.1,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 5.09 km,5.09
Valbonne,IT,43.63292,6.99911,12633,229.0,751.3,open_elevation,0.85,geonames,0.0,90,,NCE,LFMN,43.658401,7.21587,Nice-Côte d'Azur Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,26.889,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/6.999110,43.632920;7.215870,43.658401?overview=false&annotations=duration,distance&alternatives=false",37.4,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 2.82 km),2.82
Peißenberg,AT,47.80466,11.0699,12689,584.0,1916.0,open_elevation,0.85,geonames,0.0,90,,MUC,EDDM,48.353802,11.7861,Munich Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,100.375,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.069900,47.804660;11.786100,48.353802?overview=false&annotations=duration,distance&alternatives=false",81.0,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 6.62 km,6.62
Wasserburg am Inn,AT,48.0525,12.22341,12662,455.0,1492.8,opentopo,0.9,geonames,0.0,90,,MUC,EDDM,48.353802,11.7861,Munich Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,68.772,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.223410,48.052500;11.786100,48.353802?overview=false&annotations=duration,distance&alternatives=false",64.2,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.67 km),1.67
Knittelfeld,AT,47.21667,14.81667,11521,655.0,2149.0,open_elevation,0.85,geonames,0.0,90,,GRZ,LOWG,46.9911,15.4396,Graz Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,84.183,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/14.816670,47.216670;15.439600,46.991100?overview=false&annotations=duration,distance&alternatives=false",60.2,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.31 km),0.31
Schongau,AT,47.8124,10.89664,12442,723.0,2372.0,opentopo,0.9,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,84.549,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.896640,47.812400;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",62.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.33 km),0.33
Murnau am Staffelsee,AT,47.68085,11.20125,11958,693.0,2273.6,open_elevation,0.85,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,75.742,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.201250,47.680850;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",71.8,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 1.62 km),1.62
Bruneck,IT,46.79942,11.93429,12282,831.0,2726.4,opentopo,0.9,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,81.545,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.934290,46.799420;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",71.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.17 km),0.17
Gavardo,IT,45.58939,10.44257,8323,205.0,672.6,open_elevation,0.85,geonames,0.0,90,,VBS,LIPO,45.428902,10.3306,Brescia Gabriele d'Annunzio Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,28.619,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.442570,45.589390;10.330600,45.428902?overview=false&annotations=duration,distance&alternatives=false",38.4,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.25 km),0.25
Luino,IT,46.00185,8.74512,12146,206.0,675.9,open_elevation,0.85,geonames,0.0,90,,LUG,LSZA,46.004299,8.91058,Lugano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,19.02,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.745120,46.001850;8.910580,46.004299?overview=false&annotations=duration,distance&alternatives=false",28.3,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.60 km),0.6
Peiting,AT,47.79549,10.92951,12106,715.0,2345.8,opentopo,0.9,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,88.31,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.929510,47.795490;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",68.3,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 3.16 km,3.16
Pieve di Soligo,IT,45.89836,12.17128,9516,135.0,442.9,open_elevation,0.85,geonames,0.0,90,,TSF,LIPH,45.648399,12.1944,Treviso Antonio Canova Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,36.849,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.171280,45.898360;12.194400,45.648399?overview=false&annotations=duration,distance&alternatives=false",46.8,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.36 km),0.36
Cornedo Vicentino,IT,45.61626,11.33225,7654,194.0,636.5,opentopo,0.9,geonames,0.0,90,,VRN,LIPX,45.394955,10.887303,Verona Villafranca Valerio Catullo Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,71.547,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.332250,45.616260;10.887303,45.394955?overview=false&annotations=duration,distance&alternatives=false",62.7,80,,no,yes,No OSM hospital within 3.0 km of centroid; nearest 3.92 km,3.92
Lienz,AT,46.8289,12.76903,11572,675.0,2214.6,open_elevation,0.85,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,153.918,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.769030,46.828900;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",141.9,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.77 km),0.77
Miesbach,AT,47.78903,11.83382,11354,702.0,2303.1,open_elevation,0.85,geonames,0.0,90,,MUC,EDDM,48.353802,11.7861,Munich Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,86.558,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.833820,47.789030;11.786100,48.353802?overview=false&annotations=duration,distance&alternatives=false",57.1,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 2.41 km),2.41
Buchloe,AT,48.03719,10.72548,11978,619.0,2030.8,opentopo,0.9,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,47.942,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.725480,48.037190;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",34.3,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 0.39 km),0.39
Le Pont-de-Claix,FR,45.12321,5.69782,11963,244.0,800.5,open_elevation,0.85,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,51.682,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.697820,45.123210;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",40.8,95,,yes,yes,OSM hospital within 3.0 km of centroid (nearest 2.55 km),2.55
